,compiler,compiler_flags,IDX0,IDX1,IDX2,IDX3,IDX4,IDX5,IDX6,IDX7,INSTRUCTIONS_RETIRED,CFG,DiscardedpapiValues,DiscardedtimeValues,DiscardedtscValues,FLOPSs,GATHER,papi,time,tsc,vgatherdps_YMM_GPR_GPR_MEM_YMM,vmovaps_YMM_GPR_GPR_MEM,vmovdqa_YMM_GPR_GPR_LABEL,SCATTER,kxnorb_GPR_GPR_GPR,vmovq_XMM_GPR,vscatterdps_IMM_YMM,vxorps_XMM_XMM_XMM,overhead_instructions,overhead_loop,SET_IDX0,SET_IDX1,SET_IDX2,SET_IDX3,SET_IDX4,SET_IDX5,SET_IDX6,SET_IDX7,CL_IDX0,CL_IDX1,CL_IDX2,CL_IDX3,CL_IDX4,CL_IDX5,CL_IDX6,CL_IDX7,N_CL,N_SETS
36,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,6,7,0.0,-DGATHER,0.0,0.0,0.0,283400809.7165992,1.0,5.073100000000001,3.528571428571428e-09,7.179657142857143,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2
37,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,6,7,0.0,-DSCATTER,0.0,0.0,0.0,212121212.1212121,0.0,7.073128571428571,4.714285714285714e-09,10.928228571428573,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2
38,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,6,112,0.0,-DGATHER,0.0,0.0,0.0,290456431.5352697,1.0,5.073100000000001,3.4428571428571434e-09,7.385314285714285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,7,3,3
39,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,6,112,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857143e-09,10.606685714285716,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,7,3,3
40,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,6,234,0.0,-DGATHER,0.0,0.0,0.0,294117647.0588235,1.0,5.0731142857142855,3.4000000000000003e-09,7.160428571428571,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,14,3,3
41,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,6,234,0.0,-DSCATTER,0.0,0.0,0.0,219435736.677116,0.0,7.073128571428571,4.5571428571428575e-09,10.979857142857144,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,14,3,3
42,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,96,7,0.0,-DGATHER,0.0,0.0,0.0,281124497.99196786,1.0,5.0731142857142855,3.557142857142857e-09,7.158885714285715,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,0,3,3
43,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,96,7,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857144e-09,10.65022857142857,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,6,0,0,0,0,0,0,1,6,0,3,3
44,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,96,112,0.0,-DGATHER,0.0,0.0,0.0,296610169.4915254,1.0,5.073100000000001,3.3714285714285718e-09,7.176028571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.01032,0,0,0,0,0,1,6,7,0,0,0,0,0,1,6,7,4,4
45,gcc-11, -march=native -mtune=native -O3 ,0,1,2,3,4,19,96,112,0.0,-DSCATTER,0.0,0.0,0.0,220125786.163522,0.0,7.073099999999998,4.542857142857144e-09,10.682857142857143,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2,1.01032,0,0,0,0,0,1,6,7,0,0,0,0,0,1,6,7,4,4
