compiler,compiler_flags,MARTA_NUM_THREADS,OFFSET,STREAM_ARRAY_SIZE,ADD_VERSION,STRIDE,SW_PREFETCH,MEM_LOAD_UOPS_RETIRED:L1_HIT,MEM_LOAD_UOPS_RETIRED:L1_MISS,L2_RQSTS:DEMAND_DATA_RD_HIT,L2_RQSTS:DEMAND_DATA_RD_MISS,LONGEST_LAT_CACHE:MISS,MEM_LOAD_L3_MISS_RETIRED:LOCAL_DRAM,MEM_INST_RETIRED:ALL_LOADS,MEM_INST_RETIRED:ALL_STORES,n_thread,tsc,loops_vectorized,loop_interchange,BANDWIDTH,overhead_instructions,overhead_loop
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,256,0,3216.0,3798955.0,1515.0,4195173.0,5992520.0,3698304.0,8382717.0,4194696.0,0.0,222891646.0,9.0,0.0,3.7936445872897364,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,512,0,2806.0,3839133.0,1956.0,4195160.0,5991372.0,3756495.0,8388644.0,4194696.0,0.0,223496348.0,9.0,0.0,3.7833803279863885,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,1024,0,2918.0,3850545.0,1662.0,4195310.0,5995197.0,3787049.0,8382776.0,4194696.0,0.0,222433090.0,9.0,0.0,3.801465359313221,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,2048,0,2809.0,3818563.0,1462.0,4195546.0,5988833.0,3725843.0,8388717.0,4194696.0,0.0,220504212.0,9.0,0.0,3.834718977612999,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,4096,0,3042.0,3722982.0,1472.0,4195499.0,5992330.0,3630551.0,8388728.0,4194696.0,0.0,217368838.0,9.0,0.0,3.890031773551644,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,8192,0,2970.0,3586873.0,1461.0,4195305.0,5981806.0,3505483.0,8389023.0,4194696.0,0.0,211119598.0,9.0,0.0,4.005178554764016,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,16384,0,3173.0,3352277.0,1991.0,4194586.0,5982558.0,3280170.0,8388734.0,4194696.0,0.0,206126618.0,9.0,0.0,4.1021955078116115,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,32768,0,7913.0,3437785.0,4848.0,4184385.0,5986563.0,3363481.0,8382910.0,4194696.0,0.0,199448402.0,9.0,0.0,4.239551071459575,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,65536,0,10560.0,3563046.0,4409.0,4188714.0,5989392.0,3480723.0,8382577.0,4194696.0,0.0,190342388.0,9.0,0.0,4.442371955530999,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,131072,0,151977.0,3708479.0,1677813.0,2372214.0,6057759.0,1298543.0,8389023.0,4194696.0,0.0,97568052.0,9.0,0.0,8.666481179720591,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,262144,0,321613.0,3765937.0,2639329.0,1346907.0,5975121.0,461784.0,8385933.0,4194696.0,0.0,68293694.0,9.0,0.0,12.381402101341891,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,524288,0,455818.0,3683373.0,2473222.0,1082077.0,5965642.0,668372.0,8379141.0,4194696.0,0.0,67294204.0,9.0,0.0,12.565297397677815,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,12,1048576,0,363464.0,3689112.0,1962073.0,1343932.0,5805240.0,655194.0,8378476.0,4194696.0,0.0,64815014.0,9.0,0.0,13.045923069614703,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,1,0,275223.0,3066206.0,1084920.0,1955034.0,5599089.0,610747.0,8389022.0,4194696.0,0.0,61786418.0,9.0,0.0,13.685397434756617,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,2,0,234802.0,3598795.0,365436.0,2563710.0,10072780.0,2777490.0,8388797.0,4194696.0,0.0,115105464.0,9.0,0.0,7.346060360783569,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,4,0,131748.0,3990245.0,8356.0,3955759.0,7804015.0,3749669.0,8388761.0,4194696.0,0.0,130547552.0,9.0,0.0,6.477116372124696,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,8,0,66581.0,4033287.0,530.0,4057869.0,5960879.0,4007801.0,8388772.0,4194696.0,0.0,120854908.0,9.0,0.0,6.996585412981325,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,16,0,17666.0,4073128.0,921.0,4126298.0,5967708.0,4045734.0,8388733.0,4194696.0,0.0,123866500.0,9.0,0.0,6.826475975344423,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,32,0,3751.0,4092676.0,1732.0,4195525.0,5965827.0,4034505.0,8388728.0,4194696.0,0.0,144599988.0,9.0,0.0,5.847660833830775,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,64,0,5527.0,4000141.0,3352.0,4195461.0,5964951.0,3904597.0,8388808.0,4194696.0,0.0,228535738.0,9.0,0.0,3.6999538619207124,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,128,0,6702.0,3949736.0,1920.0,4194844.0,5963931.0,3839460.0,8388869.0,4194696.0,0.0,435681728.0,9.0,0.0,1.9408013512102118,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,256,0,6128.0,3939704.0,1802.0,4195115.0,5960213.0,3772090.0,8359498.0,4194696.0,0.0,430134328.0,9.0,0.0,1.9658316747971811,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,512,0,7749.0,3945057.0,2457.0,4194874.0,5960319.0,3809592.0,8388855.0,4194696.0,0.0,424346730.0,9.0,0.0,1.9926433423912562,0,0
gcc-11, -march=native -O3 -DTUNED -fno-inline -fopenmp ,1,8,16777216,13,1024,0,14062.0,3947497.0,1408.0,4194497.0,5963686.0,3850598.0,8388824.0,4194696.0,0.0,417354332.0,9.0,0.0,2.026028296742347,0,0
